,Assignment_Marks,Submission_Time,Test_Marks,Class,Performance
0,88,0,31,10,Bad
1,32,1,64,10,Bad
2,79,1,17,5,Bad
3,49,1,13,10,Bad
4,20,0,0,1,Bad
5,62,0,45,7,Bad
6,97,0,72,11,Good
7,69,1,48,3,Bad
8,48,0,53,3,Bad
9,34,0,71,7,Bad
10,97,0,88,9,Good
11,75,1,27,6,Bad
12,4,0,98,3,Bad
13,71,0,70,8,Good
14,90,0,59,10,Good
15,89,0,8,6,Bad
16,7,0,26,8,Bad
17,39,0,58,9,Bad
18,70,0,20,7,Bad
19,10,1,99,5,Bad
20,86,1,98,9,Good
21,29,1,81,7,Bad
22,13,0,89,12,Bad
23,99,0,26,11,Bad
24,77,1,66,7,Good
25,1,1,60,11,Bad
26,40,0,68,1,Bad
27,78,0,89,4,Good
28,78,0,34,9,Bad
29,11,0,96,1,Bad
30,16,0,42,10,Bad
31,32,0,34,12,Bad
32,5,1,3,2,Bad
33,21,1,28,12,Bad
34,3,0,23,11,Bad
35,94,1,36,12,Bad
36,89,0,66,8,Good
37,13,1,23,1,Bad
38,47,1,69,6,Bad
39,67,1,49,9,Bad
40,46,0,77,12,Bad
41,23,1,84,8,Bad
42,77,1,80,2,Good
43,51,0,4,6,Bad
44,41,0,70,2,Bad
45,28,0,45,8,Bad
46,63,1,35,2,Bad
47,88,0,14,5,Bad
48,21,0,78,6,Bad
49,28,0,96,10,Bad
50,80,0,46,1,Bad
51,38,1,73,5,Bad
52,100,1,67,7,Good
53,0,1,38,11,Bad
54,34,0,70,11,Bad
55,75,1,39,10,Bad
56,34,1,69,1,Bad
57,92,1,25,10,Bad
58,85,1,70,11,Good
59,75,1,17,6,Bad
60,94,1,64,1,Good
61,25,1,0,9,Bad
62,50,1,49,9,Bad
63,61,1,10,2,Bad
64,37,0,59,12,Bad
65,54,0,2,2,Bad
66,65,1,78,10,Good
67,49,0,58,4,Bad
68,56,0,80,6,Bad
69,86,0,11,3,Bad
70,61,0,53,7,Bad
71,78,0,88,8,Good
72,79,1,79,10,Good
73,81,1,75,1,Good
74,27,0,83,10,Bad
75,49,1,48,5,Bad
76,7,0,25,1,Bad
77,4,1,62,2,Bad
78,35,1,57,10,Bad
79,86,0,9,7,Bad
80,92,1,39,8,Bad
81,70,1,81,3,Good
82,6,1,7,6,Bad
83,46,0,14,1,Bad
84,48,0,2,6,Bad
85,83,1,1,11,Bad
86,48,1,93,3,Bad
87,94,1,3,6,Bad
88,77,0,46,1,Bad
89,18,1,26,9,Bad
90,71,0,71,6,Good
91,73,1,59,7,Good
92,90,1,68,4,Good
93,6,1,92,8,Bad
94,43,0,21,9,Bad
95,44,1,34,3,Bad
96,93,1,47,9,Bad
97,83,0,48,3,Bad
98,86,0,19,7,Bad
99,6,0,61,2,Bad
100,84,1,99,5,Good
101,43,1,59,8,Bad
102,61,1,92,3,Good
103,58,0,70,5,Bad
104,62,1,74,11,Good
105,66,1,44,7,Bad
106,71,0,87,1,Good
107,75,1,93,5,Good
108,28,1,59,10,Bad
109,49,1,30,5,Bad
110,77,1,87,7,Good
111,73,1,76,1,Good
112,26,1,53,11,Bad
113,35,0,74,2,Bad
114,89,0,59,9,Good
115,12,1,6,9,Bad
116,56,0,33,7,Bad
117,16,1,35,12,Bad
118,72,1,2,1,Bad
119,9,0,15,1,Bad
120,0,1,56,5,Bad
121,36,1,2,6,Bad
122,4,1,77,9,Bad
123,80,1,92,2,Good
124,25,0,1,10,Bad
125,49,1,24,6,Bad
126,25,0,65,4,Bad
127,4,1,57,6,Bad
128,1,0,80,2,Bad
129,93,1,87,8,Good
130,11,0,21,2,Bad
131,7,1,59,1,Bad
132,62,0,26,6,Bad
133,29,0,76,8,Bad
134,48,0,50,2,Bad
135,55,1,97,2,Bad
136,1,0,2,4,Bad
137,31,0,64,3,Bad
138,61,1,33,10,Bad
139,16,1,24,1,Bad
140,58,1,92,4,Bad
141,96,1,58,1,Good
142,100,0,25,2,Bad
143,55,0,4,12,Bad
144,38,0,83,9,Bad
145,72,0,46,1,Bad
146,85,0,78,10,Good
147,51,0,84,9,Bad
148,20,0,80,9,Bad
149,49,1,91,12,Bad
150,64,1,68,6,Good
151,28,1,81,10,Bad
152,50,0,42,11,Bad
153,17,0,38,7,Bad
154,16,1,77,7,Bad
155,82,1,50,2,Good
156,16,1,77,11,Bad
157,63,1,15,8,Bad
158,71,1,62,3,Good
159,59,1,8,8,Bad
160,67,0,26,3,Bad
161,27,0,95,8,Bad
162,81,1,99,6,Good
163,79,1,97,12,Good
164,72,0,7,6,Bad
165,7,1,64,6,Bad
166,17,0,32,2,Bad
167,19,0,85,7,Bad
168,1,0,74,9,Bad
169,28,1,41,5,Bad
170,17,0,99,9,Bad
171,58,1,49,3,Bad
172,19,0,89,5,Bad
173,84,1,61,12,Good
174,38,1,15,3,Bad
175,24,0,85,10,Bad
176,79,1,96,6,Good
177,53,0,71,8,Bad
178,31,1,85,1,Bad
