,TeacherID,Content,Interaction,Communication,TimeManagement,OverallAverage,OverallEvaluation
0,1,3,1,4,1,2.25,Bad
1,2,4,4,3,1,3.0,Bad
2,3,2,3,2,3,2.5,Bad
3,4,4,5,2,2,3.25,Bad
4,5,3,5,4,4,4.0,Good
5,6,5,4,1,1,2.75,Bad
6,7,4,4,1,3,3.0,Bad
7,8,1,2,5,5,3.25,Bad
8,9,4,1,1,2,2.0,Bad
9,10,2,2,2,5,2.75,Bad
10,11,1,4,4,5,3.5,Bad
11,12,5,1,3,3,3.0,Bad
12,13,2,4,5,4,3.75,Good
13,14,3,2,4,1,2.5,Bad
14,15,2,1,2,3,2.0,Bad
15,16,1,4,4,1,2.5,Bad
16,17,3,3,4,2,3.0,Bad
17,18,3,2,5,4,3.5,Bad
18,19,4,4,5,4,4.25,Good
19,20,4,3,5,1,3.25,Bad
20,21,4,5,4,3,4.0,Good
21,22,1,3,1,2,1.75,Bad
22,23,4,1,4,3,3.0,Bad
23,24,1,5,3,2,2.75,Bad
24,25,3,3,4,5,3.75,Good
25,26,3,5,5,4,4.25,Good
26,27,3,1,5,5,3.5,Bad
27,28,5,2,2,3,3.0,Bad
28,29,4,2,2,4,3.0,Bad
29,30,5,5,5,1,4.0,Good
30,31,2,5,2,4,3.25,Bad
31,32,1,5,1,5,3.0,Bad
32,33,4,2,1,5,3.0,Bad
33,34,1,3,5,1,2.5,Bad
34,35,3,3,4,4,3.5,Bad
35,36,3,1,4,3,2.75,Bad
36,37,4,2,3,4,3.25,Bad
37,38,5,1,4,1,2.75,Bad
38,39,1,4,5,2,3.0,Bad
39,40,5,2,5,2,3.5,Bad
40,41,1,5,4,2,3.0,Bad
41,42,5,5,4,3,4.25,Good
42,43,5,3,3,2,3.25,Bad
43,44,5,5,5,1,4.0,Good
44,45,4,4,5,3,4.0,Good
45,46,4,4,1,3,3.0,Bad
46,47,3,1,1,3,2.0,Bad
47,48,1,5,5,1,3.0,Bad
48,49,1,4,3,2,2.5,Bad
49,50,1,2,2,2,1.75,Bad
50,51,3,4,4,3,3.5,Bad
51,52,2,3,5,5,3.75,Good
52,53,3,1,3,2,2.25,Bad
53,54,4,5,1,5,3.75,Good
54,55,2,1,2,4,2.25,Bad
55,56,5,1,4,4,3.5,Bad
56,57,2,4,2,1,2.25,Bad
57,58,5,5,2,2,3.5,Bad
58,59,2,4,1,5,3.0,Bad
59,60,5,2,5,4,4.0,Good
60,61,5,4,1,3,3.25,Bad
61,62,2,5,3,4,3.5,Bad
62,63,4,1,1,5,2.75,Bad
63,64,1,4,1,1,1.75,Bad
64,65,4,5,1,3,3.25,Bad
65,66,1,3,4,4,3.0,Bad
66,67,3,1,2,5,2.75,Bad
67,68,4,1,2,2,2.25,Bad
68,69,1,5,2,5,3.25,Bad
69,70,2,3,2,1,2.0,Bad
70,71,2,4,5,2,3.25,Bad
71,72,3,3,3,5,3.5,Bad
72,73,2,3,1,3,2.25,Bad
73,74,2,4,1,4,2.75,Bad
74,75,1,4,3,5,3.25,Bad
75,76,1,3,1,4,2.25,Bad
76,77,1,2,2,4,2.25,Bad
77,78,1,2,1,4,2.0,Bad
78,79,2,3,5,4,3.5,Bad
79,80,4,2,5,5,4.0,Good
80,81,3,1,3,1,2.0,Bad
81,82,1,1,1,3,1.5,Bad
82,83,5,1,5,5,4.0,Good
83,84,3,4,3,2,3.0,Bad
84,85,1,4,3,1,2.25,Bad
85,86,1,5,2,3,2.75,Bad
86,87,2,3,1,5,2.75,Bad
87,88,5,1,4,1,2.75,Bad
88,89,5,2,1,1,2.25,Bad
89,90,1,3,4,5,3.25,Bad
90,91,2,3,5,4,3.5,Bad
91,92,4,4,2,3,3.25,Bad
92,93,3,4,4,4,3.75,Good
93,94,4,1,3,5,3.25,Bad
94,95,1,4,1,3,2.25,Bad
95,96,3,2,2,1,2.0,Bad
96,97,4,5,1,2,3.0,Bad
97,98,4,2,2,4,3.0,Bad
98,99,2,4,1,3,2.5,Bad
99,100,5,3,3,1,3.0,Bad
100,101,2,2,3,2,2.25,Bad
101,102,5,1,5,1,3.0,Bad
102,103,2,2,2,4,2.5,Bad
103,104,1,3,2,2,2.0,Bad
104,105,5,5,2,3,3.75,Good
105,106,4,1,3,4,3.0,Bad
106,107,1,4,5,3,3.25,Bad
107,108,4,3,4,4,3.75,Good
108,109,1,2,4,4,2.75,Bad
109,110,1,2,3,4,2.5,Bad
110,111,1,3,4,1,2.25,Bad
111,112,1,3,2,1,1.75,Bad
112,113,3,2,3,4,3.0,Bad
113,114,3,2,2,3,2.5,Bad
114,115,1,1,4,1,1.75,Bad
115,116,4,2,5,3,3.5,Bad
116,117,1,3,3,1,2.0,Bad
117,118,1,3,5,3,3.0,Bad
118,119,3,2,5,4,3.5,Bad
119,120,1,3,2,5,2.75,Bad
120,121,4,2,2,5,3.25,Bad
121,122,2,5,4,3,3.5,Bad
122,123,2,1,4,2,2.25,Bad
123,124,5,4,3,2,3.5,Bad
124,125,5,1,5,2,3.25,Bad
125,126,1,5,1,5,3.0,Bad
126,127,1,2,1,5,2.25,Bad
127,128,1,3,1,3,2.0,Bad
128,129,1,2,5,3,2.75,Bad
129,130,1,5,4,1,2.75,Bad
130,131,2,2,1,2,1.75,Bad
131,132,4,3,5,1,3.25,Bad
132,133,3,4,5,3,3.75,Good
133,134,3,1,4,4,3.0,Bad
134,135,5,5,1,3,3.5,Bad
135,136,3,5,5,2,3.75,Good
136,137,3,4,3,1,2.75,Bad
137,138,4,5,4,2,3.75,Good
138,139,4,1,4,5,3.5,Bad
139,140,5,2,3,2,3.0,Bad
140,141,1,2,1,3,1.75,Bad
141,142,4,1,1,2,2.0,Bad
142,143,2,5,3,3,3.25,Bad
143,144,2,5,5,3,3.75,Good
144,145,1,2,4,2,2.25,Bad
145,146,5,1,4,1,2.75,Bad
146,147,5,2,3,4,3.5,Bad
147,148,3,5,5,2,3.75,Good
148,149,5,4,4,2,3.75,Good
149,150,5,3,5,4,4.25,Good
150,151,1,5,3,1,2.5,Bad
151,152,4,3,5,4,4.0,Good
152,153,5,3,2,5,3.75,Good
153,154,3,4,5,1,3.25,Bad
154,155,4,3,1,1,2.25,Bad
155,156,2,1,2,4,2.25,Bad
156,157,3,3,1,4,2.75,Bad
157,158,4,1,5,1,2.75,Bad
158,159,2,1,4,3,2.5,Bad
159,160,1,2,5,5,3.25,Bad
